intervals,technique,fold,horizon,cosine,rmse,er_pred,er_actual
75,nav,2,15,0.032615344310490624,4.715674075148185,4.498303433764905,3.942581851835944
75,nav,3,15,0.01695154674788324,3.366589424013833,4.813819322594853,4.111118552934551
75,nav,4,15,0.04727347950405514,5.7509382539071,4.6944963458254465,4.047962009604492
75,nav,5,15,0.024109282231537077,4.291996571282558,4.715980003896393,4.108971004641175
75,nav,6,15,0.02621983517884552,3.8337188391614023,6.134776003515499,4.727099647399969
75,nav,7,15,0.021100228289368195,3.8714527952680533,5.093567310491853,4.4039336870562895
75,nav,8,15,0.04351634470660648,5.71108541335528,5.154341345502761,4.190335878175664
75,nav,9,15,0.04610794010796171,5.40697320539286,5.855650358671119,4.397161664618012
75,nav,0,16,0.04096200795933247,5.413751010159223,4.18064281348781,3.7844049020041597
75,nav,1,16,0.023988747574890223,3.675578885363938,5.10378273900772,4.355436756058691
75,nav,2,16,0.012854918510444291,2.8551591610410343,4.629144689487486,4.15779297336246
75,nav,3,16,0.03329944318687483,4.760704002610623,4.5158957673948485,3.942581851835944
75,nav,4,16,0.017472145146997797,3.415682923526198,4.825948801505108,4.111118552934551
75,nav,5,16,0.04617466252721314,5.6998158947958935,4.696917795693897,4.047962009604492
75,nav,6,16,0.022710217872123017,4.212376681810189,4.822277204563765,4.108971004641175
75,nav,7,16,0.02650423494646148,3.8583319656761432,6.130429090600678,4.727099647399969
75,nav,8,16,0.022204597848174967,3.9561203385426724,5.104454474010361,4.4039336870562895
75,nav,9,16,0.04626312893167239,5.84866685316265,5.259161996192336,4.190335878175664
75,nav,0,17,0.023780871639611623,3.711443265242123,4.94368516086366,4.242637174306542
75,nav,1,17,0.041166942546570606,5.424153829712386,4.2255997408207095,3.7844049020041597
75,nav,2,17,0.024586559824022136,3.722471617888799,5.096117319249574,4.355436756058691
75,nav,3,17,0.013379395054507914,2.9084738022124297,4.655477494485504,4.15779297336246
75,nav,4,17,0.03354218188605351,4.781857923065815,4.5143047230371725,3.942581851835944
75,nav,5,17,0.017626492107964076,3.4311031951549444,4.825457136337578,4.111118552934551
75,nav,6,17,0.04375123216451593,5.587271441226304,4.977943853323489,4.047962009604492
75,nav,7,17,0.022407545304057308,4.206987171508168,4.817180733862427,4.108971004641175
75,nav,8,17,0.02769815341008064,3.940877790881191,6.143914879636248,4.727099647399969
75,nav,9,17,0.023895495688457058,4.072878622503578,5.2747884161389536,4.4039336870562895
75,nav,0,18,0.019259690657783213,3.2939894757978,5.25650131319731,4.4507789312477515
75,nav,1,18,0.024414525637234563,3.7556781328771107,5.072954685426894,4.242637174306542
75,nav,2,18,0.0425158760580191,5.503026401501021,4.223290402319846,3.7844049020041597
75,nav,3,18,0.025011120866525904,3.7548235329497683,5.125270443628972,4.355436756058691
75,nav,4,18,0.013571307613787553,2.9333754901879887,4.654125443668821,4.15779297336246
75,nav,5,18,0.032555622791600514,4.727996469677611,4.510962232959078,3.942581851835944
75,nav,6,18,0.017868184943315324,3.459148481714702,5.055200073842447,4.111118552934551
75,nav,7,18,0.042780581141563134,5.548858110688372,4.968813773025883,4.047962009604492
75,nav,8,18,0.02366951929712835,4.298712651605515,4.826584657094557,4.108971004641175
75,nav,9,18,0.029728699381004975,4.07246273644969,6.449114464949003,4.727099647399969
75,nav,0,19,0.017068086034546237,3.1549484940328267,5.009581886036259,4.381013936998307
75,nav,1,19,0.0198566548883663,3.3403352116526683,5.374931094661054,4.4507789312477515
75,nav,2,19,0.02445248254444432,3.7641355238997374,5.063183031414982,4.242637174306542
75,nav,3,19,0.04322697977391343,5.544628734317424,4.239574735582376,3.7844049020041597
75,nav,4,19,0.025513104929608676,3.793218711273633,5.1381879735734,4.355436756058691
75,nav,5,19,0.013344833415923962,2.9164708929004934,4.64169919939938,4.15779297336246
